ACCOUNT NAME,LAST DAY OF MONTH,AMOUNT
1010 Main Street Checking 0974,01/31/2026,6890874.55
1010 Main Street Checking 0974,02/28/2026,6991481.35
1010 Main Street Checking 0974,03/31/2025,5618675.5
1010 Main Street Checking 0974,04/30/2025,6583808.5
1010 Main Street Checking 0974,05/31/2025,6745921.5
1010 Main Street Checking 0974,06/30/2025,6610378.5
1010 Main Street Checking 0974,07/31/2025,6853455
1010 Main Street Checking 0974,08/31/2025,7110748
1010 Main Street Checking 0974,09/30/2025,7382968.5
1010 Main Street Checking 0974,10/31/2025,6770217.5
1010 Main Street Checking 0974,11/30/2025,6768618
1010 Main Street Checking 0974,12/31/2025,6767019
1011 Main Street Checking 1458,01/31/2026,3383509.2
1011 Main Street Checking 1458,02/28/2026,3383509.2
1011 Main Street Checking 1458,03/31/2025,2809337.8
1011 Main Street Checking 1458,04/30/2025,3291904.2
1011 Main Street Checking 1458,05/31/2025,3372960.8
1011 Main Street Checking 1458,06/30/2025,3305189.2
1011 Main Street Checking 1458,07/31/2025,3426727.8
1011 Main Street Checking 1458,08/31/2025,3555374
1011 Main Street Checking 1458,09/30/2025,3691484.2
1011 Main Street Checking 1458,10/31/2025,3385108.8
1011 Main Street Checking 1458,11/30/2025,3384309
1011 Main Street Checking 1458,12/31/2025,3383509
1020 BofA Checking 6759,01/31/2026,1127836.5
1020 BofA Checking 6759,02/28/2026,1127836.5
1020 BofA Checking 6759,03/31/2025,936445.94
1020 BofA Checking 6759,04/30/2025,1097301.4
1020 BofA Checking 6759,05/31/2025,1124320.2
1020 BofA Checking 6759,06/30/2025,1101729.8
1020 BofA Checking 6759,07/31/2025,1142242.5
1020 BofA Checking 6759,08/31/2025,1185124.8
1020 BofA Checking 6759,09/30/2025,1230494.8
1020 BofA Checking 6759,10/31/2025,1128369.6
1020 BofA Checking 6759,11/30/2025,1128103
1020 BofA Checking 6759,12/31/2025,1127837
1101 Accounts Receivable 2,01/31/2026,509514.7
1101 Accounts Receivable 2,02/28/2026,509514.7
1101 Accounts Receivable 2,03/31/2025,622601.75
1101 Accounts Receivable 2,04/30/2025,2075339.2
1101 Accounts Receivable 2,05/31/2025,1992325.8
1101 Accounts Receivable 2,06/30/2025,1461038.9
1101 Accounts Receivable 2,07/31/2025,1534090.8
1101 Accounts Receivable 2,08/31/2025,1610795.4
1101 Accounts Receivable 2,09/30/2025,1691335.1
1101 Accounts Receivable 2,10/31/2025,507400.53
1101 Accounts Receivable 2,11/30/2025,507400.53
1101 Accounts Receivable 2,12/31/2025,507401
1110 Allowance for Doubtful Accounts,01/31/2026,-28306.37
1110 Allowance for Doubtful Accounts,02/28/2026,-28306.37
1110 Allowance for Doubtful Accounts,03/31/2025,-34588.99
1110 Allowance for Doubtful Accounts,04/30/2025,-115296.63
1110 Allowance for Doubtful Accounts,05/31/2025,-110684.76
1110 Allowance for Doubtful Accounts,06/30/2025,-81168.82
1110 Allowance for Doubtful Accounts,07/31/2025,-85227.27
1110 Allowance for Doubtful Accounts,08/31/2025,-89488.63
1110 Allowance for Doubtful Accounts,09/30/2025,-93963.06
1110 Allowance for Doubtful Accounts,10/31/2025,-28188.92
1110 Allowance for Doubtful Accounts,11/30/2025,-28188.92
1110 Allowance for Doubtful Accounts,12/31/2025,-28189
1150 Earned but Unbilled Revenue,01/31/2026,84919.11
1150 Earned but Unbilled Revenue,02/28/2026,84919.11
1150 Earned but Unbilled Revenue,03/31/2025,103766.96
1150 Earned but Unbilled Revenue,04/30/2025,345889.88
1150 Earned but Unbilled Revenue,05/31/2025,332054.28
1150 Earned but Unbilled Revenue,06/30/2025,243506.47
1150 Earned but Unbilled Revenue,07/31/2025,255681.8
1150 Earned but Unbilled Revenue,08/31/2025,268465.88
1150 Earned but Unbilled Revenue,09/30/2025,281889.2
1150 Earned but Unbilled Revenue,10/31/2025,84566.75
1150 Earned but Unbilled Revenue,11/30/2025,84566.75
1150 Earned but Unbilled Revenue,12/31/2025,84567
1199 Receivable from Escrow,01/31/2026,0
